address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
27 Bencoolen St,"Bencoolen Street, Selegie, Rochor, Central, 189969, Singapore",1.3028645,103.8536275,Rochor,Central,ROCHOR MRT STATION,1.303916484,103.8524217,0.1779074242259794,2.134889090711753,1680.0,Condo,Common room,400.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/bencoolen-house-condo-UqUYLp3qsvrnzsBp5eFe65
273A Jurong West Avenue 3,"273A, Jurong West Avenue 3, Wenya, Jurong West, Southwest, 641273, Singapore",1.35143835,103.70351903893206,Jurong West,West,BOON LAY MRT STATION,1.338604055,103.7060646,1.4548930446839003,17.458716536206804,900.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/273a-jurong-west-avenue-3-hdb-UqLhRYpEM6uUDcLLgaxJb4
219 Bukit Batok Street 21,"219, Bukit Batok Street 21, Bukit Batok, Southwest, 650219, Singapore",1.34704205,103.75475996994047,Bukit Batok,West,BUKIT BATOK MRT STATION,1.349034109,103.7495668,0.6183316525758407,7.419979830910088,1100.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/219-bukit-batok-street-21-hdb-DnQxau6jNwKLptCEwt8Cw5
162 Jalan Teck Whye,"162, Jalan Teck Whye, Teck Whye, Choa Chu Kang, Southwest, 680162, Singapore",1.3807770000000001,103.75782502883976,Choa Chu Kang,West,PHOENIX LRT STATION,1.378618844,103.7580341,0.24109877577438973,2.8931853092926767,800.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/162-jalan-teck-whye-hdb-NzKRMADerhyVPe2qzK7JAj
698C Jurong West Central 3,"698C, Jurong West Central 3, Jurong West Blossom, Jurong West, Southwest, 643698, Singapore",1.3402981500000002,103.70758527895124,Jurong West,West,BOON LAY MRT STATION,1.338604055,103.7060646,0.25310365839859034,3.0372439007830843,1000.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/698c-jurong-west-central-3-hdb-Hxiw9YCLyPjBmJzGGq9ifJ
31 Marsiling Drive,"31, Marsiling Drive, Marsiling Sapphire, Woodlands, Northwest, 730031, Singapore",1.4430507499999998,103.7723239884499,Woodlands,North,MARSILING MRT STATION,1.432514421,103.7740715,1.187581092277807,14.250973107333683,800.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/31-marsiling-drive-hdb-A7YsMjSSnkPpXgRzbGnaPV
529 Woodlands Drive 14,"529, Woodlands Drive 14, Woodlands, Northwest, 730529, Singapore",1.4317137,103.7931611407094,Woodlands,North,WOODLANDS SOUTH MRT STATION,1.427259979,103.7938509,0.5011315226287937,6.013578271545524,1000.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/529-woodlands-drive-14-hdb-aCxYUDgNgatjG4UUqpcq45
264 Toa Payoh East,"Toa Payoh Apex, 264, Toa Payoh East, Braddell, Toa Payoh, Central, 310264, Singapore",1.3325608999999998,103.85520494636211,Toa Payoh,Central,TOA PAYOH MRT STATION,1.332628987,103.8475018,0.8563526003426525,10.27623120411183,1100.0,HDB,Common room,60.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/264-toa-payoh-east-hdb-fKSDoabf8rjDzZvscLMELE
420 Canberra Road,"420, Canberra Road, Sembawang, Northwest, 750420, Singapore",1.4525754499999999,103.81858943101153,Sembawang,North,SEMBAWANG MRT STATION,1.449050821,103.8200461,0.42405281125726485,5.088633735087178,800.0,HDB,Common room,110.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/420-canberra-road-hdb-BSWRtUkKRchSWcNGEhUU85
124 Marsiling Rise,"124, Marsiling Rise, Woodlands, Northwest, 730124, Singapore",1.43884555,103.77939327705633,Woodlands,North,WOODLANDS MRT STATION,1.436875128,103.7864851,0.8182076627564329,9.818491953077194,850.0,HDB,Common room,130.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/124-marsiling-rise-hdb-NptTW6gVbX6CaH9LqmbLPX
