address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
407 Pasir Ris Drive 6,,,1100.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325254,https://99.co/singapore/rooms/property/407-pasir-ris-drive-6-hdb-58BUVmhShA6xy9gAGV2vMQ,2023-09-25
128 Kim Tian Road,,,1000.0,HDB,Common room,80.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325256,https://99.co/singapore/rooms/property/128-kim-tian-road-hdb-KtbBZvN6SPmTA7R8BfU2MW,2023-09-25
19 Oxley Rd,Somerset, 5 mins,1650.0,Condo,Common room,160.0,FULLY FURNISHED,2023-09-25 13:57:29.325259,https://99.co/singapore/rooms/property/orchard-court-condo-4vrcxymByt5Liivs5RG7eV,2023-09-25
770 Woodlands Drive 60,,,900.0,HDB,Common room,138.0,FULLY FURNISHED,2023-09-25 13:57:29.325261,https://99.co/singapore/rooms/property/770-woodlands-drive-60-hdb-QSJUqDvfN3bSQtpcfgCx8A,2023-09-25
418B Fernvale Link,Layar, 1 mins,900.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-25 13:57:29.325263,https://99.co/singapore/rooms/property/418b-fernvale-link-hdb-LCYs6Ghr5aSaKPjdRN7tLY,2023-09-25
204 Jurong East Street 21,Toh Guan, 3 mins,1200.0,HDB,Common room,107.0,FULLY FURNISHED,2023-09-25 13:57:29.325265,https://99.co/singapore/rooms/property/204-jurong-east-street-21-hdb-D34iCLjZKjVqBRnyjtHkfH,2023-09-25
22 Boon Keng Road,Boon Keng, 2 mins,1500.0,HDB,Common room,200.0,FULLY FURNISHED,2023-09-25 13:57:29.325268,https://99.co/singapore/rooms/property/22-boon-keng-road-hdb-58QDyPDVV3n5DV5um75sbd,2023-09-25
24 Teban Gardens Road,,,800.0,HDB,Common room,120.0,PARTIALLY FURNISHED,2023-09-25 13:57:29.325270,https://99.co/singapore/rooms/property/24-teban-gardens-road-hdb-9FATVKHDs2ZFjmAZE9rzKh,2023-09-25
48 Teban Gardens Road,,,1100.0,HDB,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325272,https://99.co/singapore/rooms/property/48-teban-gardens-road-hdb-RTwPeBaRLxPet5MoPMjiw2,2023-09-25
46 Lengkok Bahru,,,850.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325274,https://99.co/singapore/rooms/property/46-lengkok-bahru-hdb-ijPAms4R5RvJi6HzEYvQJh,2023-09-25
